Notice,Created,MinTradeSize,IsSponsored,BaseCurrencyLong,MarketName,IsActive,LogoUrl,MarketCurrencyLong,BaseCurrency,MarketCurrency
None,2017-04-19T04:53:43.893,16.1498708,None,Bitcoin,BTC-TRST,True,https://bittrexblobstorage.blob.core.windows.net/public/4438712f-ac8b-4c75-8931-03a143af6834.png,Trustcoin,BTC,TRST
None,2017-04-20T06:38:51.877,24.92211838,None,Ethereum,ETH-GNT,True,https://bittrex.com/Content/img/symbols/BTC.png,Golem,ETH,GNT
None,2017-04-20T06:43:49.19,0.21052629,None,Ethereum,ETH-REP,True,https://bittrexblobstorage.blob.core.windows.net/public/cb9a7857-2c08-44e4-b6a9-c8248bb5a927.png,Augur,ETH,REP
None,2017-04-20T17:26:37.647,0.01545595,None,Tether,USDT-ETH,True,https://bittrexblobstorage.blob.core.windows.net/public/7e5638ef-8ca0-404d-b61e-9d41c2e20dd9.png,Ethereum,USDT,ETH
None,2017-04-26T22:16:06.627,17.02287023,None,Ethereum,ETH-WINGS,True,https://bittrexblobstorage.blob.core.windows.net/public/87f3ff9d-9808-4567-b01f-ad27c2d83002.png,Wings DAO,ETH,WINGS
None,2017-04-26T22:34:24.49,8.64603147,None,Bitcoin,BTC-WINGS,True,https://bittrexblobstorage.blob.core.windows.net/public/87f3ff9d-9808-4567-b01f-ad27c2d83002.png,Wings DAO,BTC,WINGS
None,2017-04-27T00:20:33.857,8.03212851,None,Bitcoin,BTC-RLC,True,https://bittrexblobstorage.blob.core.windows.net/public/b0a02aa0-6586-4398-8369-0650d0492bb3.png,iEx.ec,BTC,RLC
None,2017-04-28T02:43:12,0.04464286,None,Bitcoin,BTC-GNO,True,https://bittrexblobstorage.blob.core.windows.net/public/d0578ca8-9121-4bd6-bd5d-6cf7c239bf7f.png,Gnosis,BTC,GNO
None,2017-04-29T18:08:12.39,13.70989855,None,Bitcoin,BTC-GUP,True,https://bittrexblobstorage.blob.core.windows.net/public/b084122e-0cda-4abc-82b2-313f6da7d36b.png,Guppy,BTC,GUP
None,2017-04-30T16:57:03.27,0.87719298,None,Bitcoin,BTC-LUN,True,https://bittrexblobstorage.blob.core.windows.net/public/559d7f54-6baf-43db-8b26-190f7b2e7746.png,Lunyr,BTC,LUN
None,2017-04-30T18:40:42.213,26.11511543,None,Ethereum,ETH-GUP,True,https://bittrexblobstorage.blob.core.windows.net/public/b084122e-0cda-4abc-82b2-313f6da7d36b.png,Guppy,ETH,GUP
None,2017-04-30T18:41:22.823,15.38461538,None,Ethereum,ETH-RLC,True,https://bittrexblobstorage.blob.core.windows.net/public/b0a02aa0-6586-4398-8369-0650d0492bb3.png,iEx.ec,ETH,RLC
None,2017-04-30T18:41:22.84,1.66632229,None,Ethereum,ETH-LUN,True,https://bittrexblobstorage.blob.core.windows.net/public/559d7f54-6baf-43db-8b26-190f7b2e7746.png,Lunyr,ETH,LUN
None,2017-04-30T18:42:52.17,0.08152012,None,Ethereum,ETH-GNO,True,https://bittrexblobstorage.blob.core.windows.net/public/d0578ca8-9121-4bd6-bd5d-6cf7c239bf7f.png,Gnosis,ETH,GNO
None,2017-05-02T06:26:32.897,0.57830211,None,Bitcoin,BTC-APX,True,https://bittrexblobstorage.blob.core.windows.net/public/ccb2ee6f-cc15-4b9c-8da5-880a797b29ff.png,Apx,BTC,APX
None,2017-05-10T00:02:47.373,25.57544757,None,Bitcoin,BTC-HMQ,True,https://bittrexblobstorage.blob.core.windows.net/public/19d1aebe-d2e6-4a65-aa19-13c00214a4b1.png,Humaniq,BTC,HMQ
